Route Name,Antioquia Region,Distance from Medellín,Difficulty Level,Difficulty (1-5),Distance / Duration,Max Altitude & Elevation Gain,Terrain & Technical Info,Category,Description,YouTube Search Link,Photo Search Link,Photo URL
Camino Ancestral de los Niquías,Valle de Aburrá (Bello),45 mins,High,4,12 km / 6-7 hours,"2,600m / +900m","Steep rock scrambling, pre-Hispanic paths.",Historical / Ascent,"A rugged ascent up the Quitasol massif, avoiding main trails.",https://www.youtube.com/results?search_query=Camino%20Ancestral%20de%20los%20Niqu%C3%ADas%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=Camino%20Ancestral%20de%20los%20Niqu%C3%ADas%20Antioquia,
Cerro Quitasol (Summit),Valle de Aburrá (Bello),45 mins,High,4,14 km / 7-8 hours,"2,880m / +1,100m","Exposed, steep, loose dirt, very hot at base.",Summit / Endurance,Classic steep climb dominating the north of the valley.,https://www.youtube.com/results?search_query=Cerro%20Quitasol%20%28Summit%29%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=Cerro%20Quitasol%20%28Summit%29%20Antioquia,
Alto de San Miguel,Valle de Aburrá (Caldas),1 hour,Moderate,2,10 km / 4 hours,"2,800m / +400m","Forest trails, shallow river crossings.",Ecological / Forest,Wildlife refuge where the Medellín River is born.,https://www.youtube.com/results?search_query=Alto%20de%20San%20Miguel%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=Alto%20de%20San%20Miguel%20Antioquia,
Cuchilla de Las Baldías,Valle de Aburrá (Bello),1 hour,High,4,14 km / 7 hours,"3,200m / +1,100m","Páramo ecosystem, steep ridges, high wind.",High-Altitude / Páramo,The only páramo in the immediate Aburrá Valley.,https://www.youtube.com/results?search_query=Cuchilla%20de%20Las%20Bald%C3%ADas%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=Cuchilla%20de%20Las%20Bald%C3%ADas%20Antioquia,
Arenales a Salto del Ángel,Valle de Aburrá (Envigado),40 mins,Moderate-High,3,10 km / 5 hours,"2,400m / +500m","Slippery rocks, dense vegetation, ropes needed.",Water Route / Technical,Classic local adventure trail requiring agility.,https://www.youtube.com/results?search_query=Arenales%20a%20Salto%20del%20%C3%81ngel%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=Arenales%20a%20Salto%20del%20%C3%81ngel%20Antioquia,
Chorro de las Campanas,Valle de Aburrá (Envigado),40 mins,Moderate,2,7 km / 3-4 hours,"2,300m / +300m","Humid forest, muddy spots, river banks.",Water Route / Nature,Beautiful waterfall tucked inside the Ayurá river basin.,https://www.youtube.com/results?search_query=Chorro%20de%20las%20Campanas%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=Chorro%20de%20las%20Campanas%20Antioquia,
Cerro de las Tres Cruces,Valle de Aburrá (Medellín),20 mins,Moderate,2,3 km / 1.5 hours,"1,900m / +300m","Very steep, loose dry dirt, exposed to sun.",Urban Ascent / Fitness,The most popular quick fitness hike in the city.,https://www.youtube.com/results?search_query=Cerro%20de%20las%20Tres%20Cruces%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=Cerro%20de%20las%20Tres%20Cruces%20Antioquia,
Cerro El Picacho,Valle de Aburrá (Medellín),30 mins,Moderate,2,4 km / 2 hours,"2,100m / +400m",Steep paved and unpaved sections.,Urban Ascent / Viewpoint,Iconic viewpoint over the northwest of Medellín.,https://www.youtube.com/results?search_query=Cerro%20El%20Picacho%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=Cerro%20El%20Picacho%20Antioquia,
Cerro Pan de Azúcar,Valle de Aburrá (Medellín),25 mins,Moderate,2,5 km / 2.5 hours,"2,000m / +350m","Urban trail, stone paths, steep stairs.",Historical / Viewpoint,Trail crossing the Arví park buffer zone and Comuna 8.,https://www.youtube.com/results?search_query=Cerro%20Pan%20de%20Az%C3%BAcar%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=Cerro%20Pan%20de%20Az%C3%BAcar%20Antioquia,
La Romera Eco-Park,Valle de Aburrá (Sabaneta),45 mins,Low-Moderate,2,6 km / 3 hours,"2,200m / +400m",Well-maintained dirt roads and forest paths.,Ecological / Birding,Excellent for bird watching and easy weekend hikes.,https://www.youtube.com/results?search_query=La%20Romera%20Eco-Park%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=La%20Romera%20Eco-Park%20Antioquia,
Cueva del Esplendor,Suroeste (Jardín),3.5 hours,Moderate,3,10 km / 4 hours,"2,200m / +400m","Muddy descents, humid, inside a cave.",Water Route / Hidden Gem,A waterfall that drops directly through a hole in a cave roof.,https://www.youtube.com/results?search_query=Cueva%20del%20Esplendor%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=Cueva%20del%20Esplendor%20Antioquia,
Salto del Ángel (Jardín),Suroeste (Jardín),3.5 hours,Moderate-High,3,12 km / 5 hours,"2,000m / +500m","Slippery river stones, dense jungle.",Water Route,Massive waterfall deep in the mountains of Jardín.,https://www.youtube.com/results?search_query=Salto%20del%20%C3%81ngel%20%28Jard%C3%ADn%29%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=Salto%20del%20%C3%81ngel%20%28Jard%C3%ADn%29%20Antioquia,
Cerro Tusa,Suroeste (Venecia),1.5 hours,High,4,4 km / 4-5 hours,"1,850m / +600m","Near-vertical dirt/grass ascents, requires hands.",Summit / Intense,The world's highest natural pyramid. Brutal gradient.,https://www.youtube.com/results?search_query=Cerro%20Tusa%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=Cerro%20Tusa%20Antioquia,https://lhacvwnrfmydjcpfiavt.supabase.co/storage/v1/object/public/trail-photos/cerro-tusa.jpg
Cerro Bravo,Suroeste (Fredonia),2 hours,High,4,12 km / 6-7 hours,"2,550m / +1,000m","Dense forest, very steep continuous incline.",Summit / Endurance,Prominent peak offering panoramic views of the Cauca River.,https://www.youtube.com/results?search_query=Cerro%20Bravo%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=Cerro%20Bravo%20Antioquia,
Farallones del Citará,Suroeste (Ciudad Bolívar),3.5 hours,Extreme,5,18 km / 1-2 days,"3,950m / +1,600m","Technical rock scrambling, dense cloud forest.",High-Altitude / Technical,"Massive granite formations, highly demanding.",https://www.youtube.com/results?search_query=Farallones%20del%20Citar%C3%A1%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=Farallones%20del%20Citar%C3%A1%20Antioquia,https://lhacvwnrfmydjcpfiavt.supabase.co/storage/v1/object/public/trail-photos/farallones-del-citara.jpg
Páramo del Sol,Suroeste (Urrao),4 hours,Extreme,5,24 km / 2 days,"4,080m / +1,800m","Deep mud, extreme weather, steep rock.",High-Altitude / Summit,Highest point in Antioquia. Demanding frailejones trek.,https://www.youtube.com/results?search_query=P%C3%A1ramo%20del%20Sol%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=P%C3%A1ramo%20del%20Sol%20Antioquia,
Cascada La Chorrera,Suroeste (Támesis),3 hours,Moderate,3,8 km / 4 hours,"1,600m / +300m","Steep descent, humid and slippery rocks.",Water Route,Towering waterfall in the indigenous territory of Támesis.,https://www.youtube.com/results?search_query=Cascada%20La%20Chorrera%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=Cascada%20La%20Chorrera%20Antioquia,
Cristo Rey to La Herrera,Suroeste (Jardín),3 hours,Low,1,5 km / 2 hours,"1,900m / +150m","Stone paths, easy dirt roads.",Nature / Family,Easy walk connecting the viewpoint to a natural pool.,https://www.youtube.com/results?search_query=Cristo%20Rey%20to%20La%20Herrera%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=Cristo%20Rey%20to%20La%20Herrera%20Antioquia,
Ruta del Oso de Anteojos,Suroeste (Andes),3.5 hours,High,4,15 km / 7 hours,"2,800m / +900m","Cloud forest, muddy, dense vegetation.",Wildlife / Endurance,Trek through the Tapartó reserve looking for spectacled bears.,https://www.youtube.com/results?search_query=Ruta%20del%20Oso%20de%20Anteojos%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=Ruta%20del%20Oso%20de%20Anteojos%20Antioquia,
Camino Simón Bolívar,Suroeste (Venecia),2 hours,Moderate,2,9 km / 4 hours,"1,400m / +300m","Historical stone paths, some mud.",Historical / Nature,Ancient trade route passing near Cerro Tusa.,https://www.youtube.com/results?search_query=Camino%20Sim%C3%B3n%20Bol%C3%ADvar%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=Camino%20Sim%C3%B3n%20Bol%C3%ADvar%20Antioquia,
Páramo de Sonsón,Oriente (Sonsón),3 hours,Moderate-High,4,14 km / 7 hours,"3,300m / +800m","Cloud forest to páramo, misty, humid.",High-Altitude / Páramo,Quieter alternative to Belmira with endemic flora.,https://www.youtube.com/results?search_query=P%C3%A1ramo%20de%20Sons%C3%B3n%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=P%C3%A1ramo%20de%20Sons%C3%B3n%20Antioquia,
Cañón del Río Santo Domingo,Oriente (Cocorná),2 hours,Moderate,3,10 km / 5-6 hours,"1,200m / +300m","River trekking, deep river crossings.",Water Route / Adventure,"Deep canyon exploration, less crowded than Melcocho.",https://www.youtube.com/results?search_query=Ca%C3%B1%C3%B3n%20del%20R%C3%ADo%20Santo%20Domingo%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=Ca%C3%B1%C3%B3n%20del%20R%C3%ADo%20Santo%20Domingo%20Antioquia,
Río Melcocho,Oriente (Cocorná),2 hours,Low-Moderate,2,8 km / 4 hours,900m / +200m,"Jungle paths, clear water wading.",Water Route / Swimming,Famous for crystal clear emerald waters.,https://www.youtube.com/results?search_query=R%C3%ADo%20Melcocho%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=R%C3%ADo%20Melcocho%20Antioquia,
Cascadas de Karu,Oriente (San Rafael),2.5 hours,Moderate,3,8 km / 4 hours,"1,000m / +250m","Humid jungle paths, bouldering.",Water Route / Hidden Gem,Secluded waterfalls hidden deep in tropical forest.,https://www.youtube.com/results?search_query=Cascadas%20de%20Karu%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=Cascadas%20de%20Karu%20Antioquia,
Salto del Buey,Oriente (La Ceja),2 hours,Moderate,3,6 km / 3 hours,"2,200m / +400m","Steep descent to waterfall base, cables.",Water Route / Scenic,Massive 90m waterfall in a dramatic canyon.,https://www.youtube.com/results?search_query=Salto%20del%20Buey%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=Salto%20del%20Buey%20Antioquia,
Piedra del Peñol (Base Trail),Oriente (Guatapé),2 hours,Low,1,4 km / 1.5 hours,"2,100m / +200m",Paved and clear dirt paths.,Tourism / Easy,Walk around the base of the famous monolith.,https://www.youtube.com/results?search_query=Piedra%20del%20Pe%C3%B1ol%20%28Base%20Trail%29%20Antioquia%20senderismo,https://www.google.com/search?tbm=isch&q=Piedra%20del%20Pe%C3%B1ol%20%28Base%20Trail%29%20Antioquia,
