Route Name,Antioquia Region,Distance from Medellín,Difficulty Level,Difficulty (1-5),Distance / Duration,Max Altitude & Elevation Gain,Terrain & Technical Info,Category,Description,Photo URL
Camino Ancestral de los Niquías,Valle de Aburrá (Bello),45 mins,High,4,12 km / 6-7 hours,"2,600m / +900m","Steep rock scrambling, pre-Hispanic paths.",Historical / Ascent,"A rugged ascent up the Quitasol massif, avoiding main trails.",
Cerro Quitasol (Summit),Valle de Aburrá (Bello),45 mins,High,4,14 km / 7-8 hours,"2,880m / +1,100m","Exposed, steep, loose dirt, very hot at base.",Summit / Endurance,Classic steep climb dominating the north of the valley.,
Alto de San Miguel,Valle de Aburrá (Caldas),1 hour,Moderate,2,10 km / 4 hours,"2,800m / +400m","Forest trails, shallow river crossings.",Ecological / Forest,Wildlife refuge where the Medellín River is born.,
Cuchilla de Las Baldías,Valle de Aburrá (Bello),1 hour,High,4,14 km / 7 hours,"3,200m / +1,100m","Páramo ecosystem, steep ridges, high wind.",High-Altitude / Páramo,The only páramo in the immediate Aburrá Valley.,
Arenales a Salto del Ángel,Valle de Aburrá (Envigado),40 mins,Moderate-High,3,10 km / 5 hours,"2,400m / +500m","Slippery rocks, dense vegetation, ropes needed.",Water Route / Technical,Classic local adventure trail requiring agility.,
Chorro de las Campanas,Valle de Aburrá (Envigado),40 mins,Moderate,2,7 km / 3-4 hours,"2,300m / +300m","Humid forest, muddy spots, river banks.",Water Route / Nature,Beautiful waterfall tucked inside the Ayurá river basin.,
Cerro de las Tres Cruces,Valle de Aburrá (Medellín),20 mins,Moderate,2,3 km / 1.5 hours,"1,900m / +300m","Very steep, loose dry dirt, exposed to sun.",Urban Ascent / Fitness,The most popular quick fitness hike in the city.,
Cerro El Picacho,Valle de Aburrá (Medellín),30 mins,Moderate,2,4 km / 2 hours,"2,100m / +400m",Steep paved and unpaved sections.,Urban Ascent / Viewpoint,Iconic viewpoint over the northwest of Medellín.,
Cerro Pan de Azúcar,Valle de Aburrá (Medellín),25 mins,Moderate,2,5 km / 2.5 hours,"2,000m / +350m","Urban trail, stone paths, steep stairs.",Historical / Viewpoint,Trail crossing the Arví park buffer zone and Comuna 8.,
La Romera Eco-Park,Valle de Aburrá (Sabaneta),45 mins,Low-Moderate,2,6 km / 3 hours,"2,200m / +400m",Well-maintained dirt roads and forest paths.,Ecological / Birding,Excellent for bird watching and easy weekend hikes.,
Cueva del Esplendor,Suroeste (Jardín),3.5 hours,Moderate,3,10 km / 4 hours,"2,200m / +400m","Muddy descents, humid, inside a cave.",Water Route / Hidden Gem,A waterfall that drops directly through a hole in a cave roof.,
Salto del Ángel (Jardín),Suroeste (Jardín),3.5 hours,Moderate-High,3,12 km / 5 hours,"2,000m / +500m","Slippery river stones, dense jungle.",Water Route,Massive waterfall deep in the mountains of Jardín.,
Cerro Tusa,Suroeste (Venecia),1.5 hours,High,4,4 km / 4-5 hours,"1,850m / +600m","Near-vertical dirt/grass ascents, requires hands.",Summit / Intense,The world's highest natural pyramid. Brutal gradient.,https://lhacvwnrfmydjcpfiavt.supabase.co/storage/v1/object/public/trail-photos/cerro-tusa.jpg
Cerro Bravo,Suroeste (Fredonia),2 hours,High,4,12 km / 6-7 hours,"2,550m / +1,000m","Dense forest, very steep continuous incline.",Summit / Endurance,Prominent peak offering panoramic views of the Cauca River.,
Farallones del Citará,Suroeste (Ciudad Bolívar),3.5 hours,Extreme,5,18 km / 1-2 days,"3,950m / +1,600m","Technical rock scrambling, dense cloud forest.",High-Altitude / Technical,"Massive granite formations, highly demanding.",https://lhacvwnrfmydjcpfiavt.supabase.co/storage/v1/object/public/trail-photos/farallones-del-citara.jpg
Páramo del Sol,Suroeste (Urrao),4 hours,Extreme,5,24 km / 2 days,"4,080m / +1,800m","Deep mud, extreme weather, steep rock.",High-Altitude / Summit,Highest point in Antioquia. Demanding frailejones trek.,
Cascada La Chorrera,Suroeste (Támesis),3 hours,Moderate,3,8 km / 4 hours,"1,600m / +300m","Steep descent, humid and slippery rocks.",Water Route,Towering waterfall in the indigenous territory of Támesis.,
Cristo Rey to La Herrera,Suroeste (Jardín),3 hours,Low,1,5 km / 2 hours,"1,900m / +150m","Stone paths, easy dirt roads.",Nature / Family,Easy walk connecting the viewpoint to a natural pool.,
Ruta del Oso de Anteojos,Suroeste (Andes),3.5 hours,High,4,15 km / 7 hours,"2,800m / +900m","Cloud forest, muddy, dense vegetation.",Wildlife / Endurance,Trek through the Tapartó reserve looking for spectacled bears.,
Camino Simón Bolívar,Suroeste (Venecia),2 hours,Moderate,2,9 km / 4 hours,"1,400m / +300m","Historical stone paths, some mud.",Historical / Nature,Ancient trade route passing near Cerro Tusa.,
Páramo de Sonsón,Oriente (Sonsón),3 hours,Moderate-High,4,14 km / 7 hours,"3,300m / +800m","Cloud forest to páramo, misty, humid.",High-Altitude / Páramo,Quieter alternative to Belmira with endemic flora.,
Cañón del Río Santo Domingo,Oriente (Cocorná),2 hours,Moderate,3,10 km / 5-6 hours,"1,200m / +300m","River trekking, deep river crossings.",Water Route / Adventure,"Deep canyon exploration, less crowded than Melcocho.",
Río Melcocho,Oriente (Cocorná),2 hours,Low-Moderate,2,8 km / 4 hours,900m / +200m,"Jungle paths, clear water wading.",Water Route / Swimming,Famous for crystal clear emerald waters.,
Cascadas de Karu,Oriente (San Rafael),2.5 hours,Moderate,3,8 km / 4 hours,"1,000m / +250m","Humid jungle paths, bouldering.",Water Route / Hidden Gem,Secluded waterfalls hidden deep in tropical forest.,
Salto del Buey,Oriente (La Ceja),2 hours,Moderate,3,6 km / 3 hours,"2,200m / +400m","Steep descent to waterfall base, cables.",Water Route / Scenic,Massive 90m waterfall in a dramatic canyon.,
Piedra del Peñol (Base Trail),Oriente (Guatapé),2 hours,Low,1,4 km / 1.5 hours,"2,100m / +200m",Paved and clear dirt paths.,Tourism / Easy,Walk around the base of the famous monolith.,
Cerro El Capiro,Oriente (La Ceja),1.5 hours,Moderate,2,6 km / 3 hours,"2,500m / +400m","Pine forest, dirt roads, steady incline.",Viewpoint / Forest,Panoramic views of the San Nicolás valley.,
Cascada La Escalera,Oriente (San Carlos),3 hours,Moderate,3,9 km / 5 hours,"1,100m / +300m","Jungle paths, river banks.",Water Route,Series of cascading waterfalls in a humid region.,
Pailania,Oriente (San Francisco),2.5 hours,Moderate,2,10 km / 4 hours,"1,000m / +200m","River rocks, warm tropical climate.",Water Route / Swimming,Beautiful river hike with multiple natural pools.,
Vereda La Madera,Oriente (El Carmen de Viboral),1.5 hours,Low-Moderate,2,8 km / 3 hours,"2,400m / +250m","Rural dirt roads, agricultural landscapes.",Cultural / Nature,Scenic walk through traditional ceramic-producing farmland.,
Morro El Ventiadero,Oriente (El Retiro),1 hour,Moderate,3,11 km / 5 hours,"2,600m / +500m","Pine needles, steep dirt tracks.",Endurance / Viewpoint,Great training route with valley views.,
Alto de la Cruz,Valle de Aburrá (Caldas),1 hour,Moderate,2,6 km / 3 hours,"2,100m / +350m","Dirt roads, clear trails.",Urban edge / Viewpoint,Good intermediate hike south of the city.,
Cascada El Paraíso,Oriente (Guarne),1 hour,Moderate,2,8 km / 3.5 hours,"2,200m / +300m",Muddy forest trails.,Water Route / Forest,Pleasant hike leading to a hidden waterfall in Guarne.,
La Casa en el Aire (Access trail),Oriente (Abejorral),2.5 hours,Moderate-High,3,7 km / 4 hours,"2,300m / +500m",Very steep descent/ascent in canyon.,Scenic / Adventure,Trail leading down into the spectacular Buey River canyon.,
Ruta del Padre Calixto,Oriente (El Retiro),1.5 hours,Low-Moderate,2,9 km / 4 hours,"2,400m / +300m","Ecological reserve paths, well marked.",Ecological / History,Path through the San Sebastián de la Castellana reserve.,
Camino de la Cuesta,Oriente (Rionegro),1 hour,Low,1,5 km / 2 hours,"2,100m / +150m",Cobblestone and dirt.,Historical / Easy,Old heritage trail connecting to the valley.,
Cerro Corcovado,Oriente (El Retiro),1 hour,Moderate-High,3,8 km / 4 hours,"2,650m / +500m","Steep pine forest, slippery when wet.",Viewpoint / Ascent,Prominent peak offering sweeping views of the Oriente.,
Cascada La Brizuela,Oriente (Guarne),1 hour,Moderate,2,7 km / 3 hours,"2,200m / +250m","Forested trails, some mud.",Water Route,A refreshing hike starting from Barro Blanco.,
Páramo de Santa Inés,Norte (Belmira),2 hours,High,4,16 km / 8 hours,"3,350m / +900m","Well-marked but demanding, high winds.",High-Altitude / Endurance,Classic páramo route passing Laguna San José.,
